review_id,ela_mean,ela_p99,ela_block_std,ela_block_cv,ela_block_max_ratio,ela_block_skew,ela_hot_block_frac,noise_mean_var,noise_var_cv,noise_max_ratio,noise_hot_frac,cm_pairs,cm_best_sim
R02952,0.5026460886001587,2.6666667461395264,0.3290630280971527,0.6546600461006165,4.928982734680176,1.4905836582183838,0.024739583333333332,15.991565704345703,1.656071662902832,16.64629364013672,0.057291666666666664,0.0,0.0
R02953,0.28224658966064453,1.6666666269302368,0.19360895454883575,0.6863009929656982,5.866425037384033,1.3701088428497314,0.043154761904761904,3.490510940551758,3.5369725227355957,48.77714920043945,0.03869047619047619,21.0,0.9890099167823792
R02954,0.19982314109802246,2.6666667461395264,0.3301081955432892,1.640629529953003,10.433387756347656,2.818276882171631,0.07589285714285714,19.96225929260254,4.4168829917907715,59.869232177734375,0.03125,0.0,0.0
R02955,0.3508794903755188,2.3333332538604736,0.2260415256023407,0.6448435187339783,4.697962284088135,2.457676410675049,0.05803571428571429,7.11739444732666,4.339959621429443,53.28974533081055,0.028273809523809524,0.0,0.0
R02956,0.8548451662063599,3.3333332538604736,0.4014546573162079,0.4700450301170349,2.6900689601898193,0.2455330342054367,0.02976190476190476,14.780808448791504,2.3641765117645264,21.388769149780273,0.049107142857142856,0.0,0.0
R02957,0.1875775307416916,2.0,0.2776816189289093,1.4708424806594849,10.495451927185059,3.8722174167633057,0.04375,11.751164436340332,4.998230457305908,58.90447998046875,0.02375,1.0,0.9747527837753296
R02958,0.6235653758049011,2.3333332538604736,0.25625234842300415,0.4131230115890503,2.389395236968994,0.6884676218032837,0.046130952380952384,22.10459327697754,2.163278102874756,17.64316177368164,0.041666666666666664,3.0,0.9897308349609375
R02959,0.26574328541755676,2.0,0.2751058042049408,1.0304473638534546,4.4223432540893555,1.3663653135299683,0.08482142857142858,3.644865036010742,2.0249974727630615,18.595300674438477,0.047619047619047616,4.0,0.98952716588974
R02960,0.23020993173122406,1.3333333730697632,0.12117601186037064,0.5258491039276123,2.623222827911377,0.3818654716014862,0.03571428571428571,0.6740228533744812,1.935058832168579,17.800525665283203,0.05654761904761905,6.0,0.9877625703811646
R02961,0.13724307715892792,2.0,0.20987717807292938,1.5292260646820068,9.238313674926758,1.9817652702331543,0.05859375,4.089667797088623,2.6186845302581787,21.399967193603516,0.046875,3.0,0.9777257442474365
R02962,0.38772010803222656,3.0,0.4899503290653229,1.250490665435791,4.692473888397217,1.526771068572998,0.09523809523809523,85.50926208496094,2.3606314659118652,11.484130859375,0.08482142857142858,121.0,0.9980944395065308
R02963,0.20429247617721558,2.0,0.2838377356529236,1.3713393211364746,7.319475173950195,1.7786448001861572,0.0625,7.606833457946777,5.556515216827393,100.83191680908203,0.01488095238095238,7.0,0.9882403016090393
R02964,0.1218583881855011,1.0,0.10791388154029846,0.912887692451477,6.253684043884277,1.5481661558151245,0.05803571428571429,1.856567621231079,2.7593917846679688,22.35853385925293,0.050595238095238096,11.0,0.9887890815734863
R02965,0.32195714116096497,2.0,0.18253372609615326,0.5669487714767456,4.459812164306641,2.239006280899048,0.05381944444444445,7.03507661819458,3.009397506713867,33.68443298339844,0.043402777777777776,0.0,0.0
R02966,0.25472626090049744,2.0,0.2668083608150482,1.0512112379074097,5.52901029586792,1.8665125370025635,0.07589285714285714,5.672194004058838,3.026247501373291,26.350679397583008,0.049107142857142856,4.0,0.9867887496948242
R02967,0.5431635975837708,3.0,0.3212392330169678,0.5933876037597656,3.955929756164551,1.8349066972732544,0.052083333333333336,20.388254165649414,3.605398178100586,32.1442756652832,0.028273809523809524,6.0,0.9888646006584167
R02968,0.27931639552116394,1.6666666269302368,0.1990124136209488,0.7097524404525757,4.829463005065918,2.07177734375,0.06125,2.2541322708129883,3.8924646377563477,41.444828033447266,0.0275,4.0,0.9822139739990234
R02969,0.12131581455469131,2.0,0.2349434196949005,1.9110511541366577,11.443860054016113,2.80637788772583,0.052083333333333336,5.357048988342285,4.017235279083252,40.90422439575195,0.02976190476190476,2.0,0.991705596446991
R02970,0.23279424011707306,1.6666666269302368,0.17544160783290863,0.7537963390350342,4.797271728515625,1.4671612977981567,0.046130952380952384,1.2959879636764526,4.521790981292725,74.24005126953125,0.01488095238095238,3.0,0.987151563167572
